material;data
Ag1Bi1P2Se6;{'HOMO_ENERGY': -2.39028602882067, 'LUMO_ENERGY': -0.940550914435532, 'BAND_GAP': 1.4497351143851378, 'HOMO_KPT_NUM': 5, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 40, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.8082191137993988, 'GAP_TYPE': 'INDIRECT'}
Al1N1;{'HOMO_ENERGY': -3.7105168731799707, 'LUMO_ENERGY': -0.750614515509114, 'BAND_GAP': 2.9599023576708565, 'HOMO_KPT_NUM': 21, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 8, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.632145448144939, 'GAP_TYPE': 'INDIRECT'}
As4S6;{'HOMO_ENERGY': -4.333726274213757, 'LUMO_ENERGY': -2.044652553328132, 'BAND_GAP': 2.289073720885625, 'HOMO_KPT_NUM': 17, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 28, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.4543035757880687, 'GAP_TYPE': 'INDIRECT'}
As4Se6;{'HOMO_ENERGY': -3.746375736544688, 'LUMO_ENERGY': -1.9732687132011955, 'BAND_GAP': 1.7731070233434925, 'HOMO_KPT_NUM': 8, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 28, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.3112426347787256, 'GAP_TYPE': 'INDIRECT'}
B1N1;{'HOMO_ENERGY': -4.138593229316628, 'LUMO_ENERGY': 0.6469215212742565, 'BAND_GAP': 4.785514750590885, 'HOMO_KPT_NUM': 30, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 4, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.6531028729294441, 'GAP_TYPE': 'INDIRECT'}
B2C3N6;{'HOMO_ENERGY': -5.604520448369016, 'LUMO_ENERGY': -3.0116629529670784, 'BAND_GAP': 2.5928574954019368, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 24, 'IS_METALLIC': False, 'FERMI_ENERGY': -4.013141187188978, 'GAP_TYPE': 'DIRECT'}
Bi1O2;{'HOMO_ENERGY': -4.689978349062451, 'LUMO_ENERGY': -4.546737386915326, 'BAND_GAP': 0.1432409621471247, 'HOMO_KPT_NUM': 5, 'LUMO_KPT_NUM': 11, 'HOMO_BAND_NUM': 14, 'IS_METALLIC': True, 'FERMI_ENERGY': -4.55257660209772, 'GAP_TYPE': 'INDIRECT'}
Bi1Te1Br1;{'HOMO_ENERGY': -2.799096900825078, 'LUMO_ENERGY': -1.1960526534510005, 'BAND_GAP': 1.6030442473740776, 'HOMO_KPT_NUM': 12, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 19, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.2269358387753093, 'GAP_TYPE': 'INDIRECT'}
Bi1Te1Cl1;{'HOMO_ENERGY': -3.603803774176023, 'LUMO_ENERGY': -3.1378778667034832, 'BAND_GAP': 0.4659259074725394, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 19, 'IS_METALLIC': False, 'FERMI_ENERGY': -3.382068505476528, 'GAP_TYPE': 'DIRECT'}
Bi1Te1I1;{'HOMO_ENERGY': -2.5784846714880314, 'LUMO_ENERGY': -1.059011255883512, 'BAND_GAP': 1.5194734156045193, 'HOMO_KPT_NUM': 22, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 24, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.5785290901418816, 'GAP_TYPE': 'INDIRECT'}
Cd1In1Ga1S4;{'HOMO_ENERGY': -0.2024173207465955, 'LUMO_ENERGY': 0.29115190637538624, 'BAND_GAP': 0.49356922712198176, 'HOMO_KPT_NUM': 2, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 35, 'IS_METALLIC': False, 'FERMI_ENERGY': 0.05431315989084243, 'GAP_TYPE': 'INDIRECT'}
Cu1Bi1P2Se6;{'HOMO_ENERGY': -1.8056454854307655, 'LUMO_ENERGY': -0.951672429188615, 'BAND_GAP': 0.8539730562421505, 'HOMO_KPT_NUM': 5, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 40, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.4559728373687901, 'GAP_TYPE': 'INDIRECT'}
Cu1Br1;{'HOMO_ENERGY': -2.9078222106892233, 'LUMO_ENERGY': -1.7857691757920362, 'BAND_GAP': 1.122053034897187, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 13, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.1307985607070434, 'GAP_TYPE': 'DIRECT'}
Ga1Ag1P2Se6;{'HOMO_ENERGY': -2.1683893765909272, 'LUMO_ENERGY': -1.1993694038935956, 'BAND_GAP': 0.969019972697332, 'HOMO_KPT_NUM': 4, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 39, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.7356634279706966, 'GAP_TYPE': 'INDIRECT'}
Ga1N1;{'HOMO_ENERGY': -3.404492648456197, 'LUMO_ENERGY': -1.174833149266722, 'BAND_GAP': 2.229659499189475, 'HOMO_KPT_NUM': 19, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 9, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.676661516489141, 'GAP_TYPE': 'INDIRECT'}
Ga2H2O4;{'HOMO_ENERGY': -2.6665768507917553, 'LUMO_ENERGY': 0.4910242130841873, 'BAND_GAP': 3.1576010638759424, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 26, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.46064402115180786, 'GAP_TYPE': 'DIRECT'}
Ga2S2;{'HOMO_ENERGY': -2.7971348137549916, 'LUMO_ENERGY': -0.2760666283419323, 'BAND_GAP': 2.521068185413059, 'HOMO_KPT_NUM': 7, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 19, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.7509273230071694, 'GAP_TYPE': 'INDIRECT'}
Ga2Se2;{'HOMO_ENERGY': -2.1132742706505616, 'LUMO_ENERGY': -0.14148902914812284, 'BAND_GAP': 1.9717852415024384, 'HOMO_KPT_NUM': 7, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 19, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.3576057656202243, 'GAP_TYPE': 'INDIRECT'}
Ge2S2;{'HOMO_ENERGY': -2.0747806539281175, 'LUMO_ENERGY': -0.2275624182535984, 'BAND_GAP': 1.8472182356745193, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 21, 'HOMO_BAND_NUM': 20, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.8443616114710023, 'GAP_TYPE': 'INDIRECT'}
Ge3Sb2O9;{'HOMO_ENERGY': -4.040539160191675, 'LUMO_ENERGY': 0.039535379707996185, 'BAND_GAP': 4.080074539899671, 'HOMO_KPT_NUM': 4, 'LUMO_KPT_NUM': 7, 'HOMO_BAND_NUM': 63, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.7065078246195591, 'GAP_TYPE': 'INDIRECT'}
In1Cu1P2Se6;{'HOMO_ENERGY': -1.7171987964865243, 'LUMO_ENERGY': -1.1440583339066952, 'BAND_GAP': 0.573140462579829, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 39, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.4267481017380361, 'GAP_TYPE': 'DIRECT'}
In2Se2;{'HOMO_ENERGY': -2.431106505356631, 'LUMO_ENERGY': -1.033950248518574, 'BAND_GAP': 1.3971562568380569, 'HOMO_KPT_NUM': 7, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 19, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.993030722202761, 'GAP_TYPE': 'INDIRECT'}
K1C1N1;{'HOMO_ENERGY': -5.231301602290124, 'LUMO_ENERGY': -0.05593757360769752, 'BAND_GAP': 5.175364028682426, 'HOMO_KPT_NUM': 27, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 9, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.6497669885169457, 'GAP_TYPE': 'INDIRECT'}
Mo1S2;{'HOMO_ENERGY': -3.0985654649482233, 'LUMO_ENERGY': -1.4363293854014825, 'BAND_GAP': 1.662236079546741, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 19, 'HOMO_BAND_NUM': 13, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.2506331814561675, 'GAP_TYPE': 'INDIRECT'}
Mo1Se2;{'HOMO_ENERGY': -2.532225854105753, 'LUMO_ENERGY': -1.0777056913311136, 'BAND_GAP': 1.4545201627746398, 'HOMO_KPT_NUM': 19, 'LUMO_KPT_NUM': 19, 'HOMO_BAND_NUM': 13, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.163363594733912, 'GAP_TYPE': 'DIRECT'}
Nb3Br8;{'HOMO_ENERGY': -1.1780768002739417, 'LUMO_ENERGY': -1.150990122253008, 'BAND_GAP': 0.02708667802093369, 'HOMO_KPT_NUM': 12, 'LUMO_KPT_NUM': 9, 'HOMO_BAND_NUM': 48, 'IS_METALLIC': True, 'FERMI_ENERGY': -1.1657336489353225, 'GAP_TYPE': 'INDIRECT'}
Nb3I8;{'HOMO_ENERGY': -0.37991003893657216, 'LUMO_ENERGY': -0.34346789993164206, 'BAND_GAP': 0.0364421390049301, 'HOMO_KPT_NUM': 2, 'LUMO_KPT_NUM': 13, 'HOMO_BAND_NUM': 88, 'IS_METALLIC': True, 'FERMI_ENERGY': -0.36153147894468773, 'GAP_TYPE': 'INDIRECT'}
Nb6Ge2Te12;{'HOMO_ENERGY': -0.5096879934640012, 'LUMO_ENERGY': -0.4896716141242231, 'BAND_GAP': 0.020016379339778075, 'HOMO_KPT_NUM': 13, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 150, 'IS_METALLIC': True, 'FERMI_ENERGY': -0.49273744665737984, 'GAP_TYPE': 'INDIRECT'}
not2d;
Rb3Mo2Cl9;{'HOMO_ENERGY': -1.6780036144796155, 'LUMO_ENERGY': -1.6104920874663566, 'BAND_GAP': 0.06751152701325883, 'HOMO_KPT_NUM': 2, 'LUMO_KPT_NUM': 7, 'HOMO_BAND_NUM': 59, 'IS_METALLIC': True, 'FERMI_ENERGY': -1.62169246780857, 'GAP_TYPE': 'INDIRECT'}
Sb2As2O6;{'HOMO_ENERGY': -1.5339438917430932, 'LUMO_ENERGY': 2.227300340780916, 'BAND_GAP': 3.761244232524009, 'HOMO_KPT_NUM': 25, 'LUMO_KPT_NUM': 26, 'HOMO_BAND_NUM': 38, 'IS_METALLIC': False, 'FERMI_ENERGY': 0.5820544450793692, 'GAP_TYPE': 'INDIRECT'}
Sb2N2;{'HOMO_ENERGY': -1.0582749819306436, 'LUMO_ENERGY': 0.7646118201968449, 'BAND_GAP': 1.8228868021274887, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 37, 'HOMO_BAND_NUM': 20, 'IS_METALLIC': False, 'FERMI_ENERGY': 0.23302491063506947, 'GAP_TYPE': 'INDIRECT'}
Sb2Se2I2;{'HOMO_ENERGY': -2.8061833403371037, 'LUMO_ENERGY': -1.7672246690633362, 'BAND_GAP': 1.0389586712737673, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 38, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.3430008996020892, 'GAP_TYPE': 'DIRECT'}
Sc1Ag1P2S6;{'HOMO_ENERGY': -3.060343841757223, 'LUMO_ENERGY': -0.983955383851963, 'BAND_GAP': 2.07638845790526, 'HOMO_KPT_NUM': 8, 'LUMO_KPT_NUM': 8, 'HOMO_BAND_NUM': 38, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.7473939704214443, 'GAP_TYPE': 'DIRECT'}
Sc1Ag1P2Se6;{'HOMO_ENERGY': -2.8729689208671596, 'LUMO_ENERGY': -1.1700854200111588, 'BAND_GAP': 1.7028835008560008, 'HOMO_KPT_NUM': 4, 'LUMO_KPT_NUM': 7, 'HOMO_BAND_NUM': 38, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.903996137700066, 'GAP_TYPE': 'INDIRECT'}
Si4As8;{'HOMO_ENERGY': -2.4049251936883502, 'LUMO_ENERGY': -0.9928161629448519, 'BAND_GAP': 1.4121090307434983, 'HOMO_KPT_NUM': 3, 'LUMO_KPT_NUM': 3, 'HOMO_BAND_NUM': 28, 'IS_METALLIC': False, 'FERMI_ENERGY': -2.021150654400619, 'GAP_TYPE': 'DIRECT'}
Sn4S4;{'HOMO_ENERGY': -1.6195498090468297, 'LUMO_ENERGY': -0.07725266338222977, 'BAND_GAP': 1.5422971456646, 'HOMO_KPT_NUM': 16, 'LUMO_KPT_NUM': 16, 'HOMO_BAND_NUM': 40, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.8538171253605933, 'GAP_TYPE': 'DIRECT'}
Ta1Se2;{'HOMO_ENERGY': -1.7908103361573888, 'LUMO_ENERGY': -1.6481955746412669, 'BAND_GAP': 0.14261476151612193, 'HOMO_KPT_NUM': 13, 'LUMO_KPT_NUM': 15, 'HOMO_BAND_NUM': 20, 'IS_METALLIC': True, 'FERMI_ENERGY': -1.743607104387332, 'GAP_TYPE': 'INDIRECT'}
Ta3S1Br7;{'HOMO_ENERGY': -1.1780688315729966, 'LUMO_ENERGY': -0.35712467762497185, 'BAND_GAP': 0.8209441539480248, 'HOMO_KPT_NUM': 20, 'LUMO_KPT_NUM': 17, 'HOMO_BAND_NUM': 68, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.7931852867413525, 'GAP_TYPE': 'INDIRECT'}
Te1O3;{'HOMO_ENERGY': -6.751540862822867, 'LUMO_ENERGY': -5.84603547477172, 'BAND_GAP': 0.9055053880511464, 'HOMO_KPT_NUM': 16, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 17, 'IS_METALLIC': False, 'FERMI_ENERGY': -6.44440418431689, 'GAP_TYPE': 'INDIRECT'}
Te2H4O8;{'HOMO_ENERGY': -4.676461729448726, 'LUMO_ENERGY': -2.6449268252058187, 'BAND_GAP': 2.0315349042429074, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 42, 'IS_METALLIC': False, 'FERMI_ENERGY': -3.903931190109387, 'GAP_TYPE': 'DIRECT'}
Te2Mo1;{'HOMO_ENERGY': -1.4553254318334454, 'LUMO_ENERGY': -0.26677816601116333, 'BAND_GAP': 1.1885472658222822, 'HOMO_KPT_NUM': 16, 'LUMO_KPT_NUM': 16, 'HOMO_BAND_NUM': 23, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.7978061070627201, 'GAP_TYPE': 'DIRECT'}
V1Ag1P2Se6;{'HOMO_ENERGY': -1.3788102259542356, 'LUMO_ENERGY': -1.324120883949359, 'BAND_GAP': 0.054689342004876525, 'HOMO_KPT_NUM': 2, 'LUMO_KPT_NUM': 16, 'HOMO_BAND_NUM': 39, 'IS_METALLIC': False, 'FERMI_ENERGY': -1.361779264595428, 'GAP_TYPE': 'INDIRECT'}
W1S2;{'HOMO_ENERGY': -1.5883845732962103, 'LUMO_ENERGY': 0.22653799008103398, 'BAND_GAP': 1.8149225633772446, 'HOMO_KPT_NUM': 19, 'LUMO_KPT_NUM': 19, 'HOMO_BAND_NUM': 20, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.9868992333199357, 'GAP_TYPE': 'DIRECT'}
W1Se2;{'HOMO_ENERGY': -1.5915214911409294, 'LUMO_ENERGY': -0.0317105879919982, 'BAND_GAP': 1.5598109031489313, 'HOMO_KPT_NUM': 19, 'LUMO_KPT_NUM': 19, 'HOMO_BAND_NUM': 20, 'IS_METALLIC': False, 'FERMI_ENERGY': -0.34027050928586466, 'GAP_TYPE': 'DIRECT'}
Zn1Cl2;{'HOMO_ENERGY': -5.416800070646388, 'LUMO_ENERGY': -4.098979236943896, 'BAND_GAP': 1.3178208337024917, 'HOMO_KPT_NUM': 3, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 17, 'IS_METALLIC': False, 'FERMI_ENERGY': -4.843477976670288, 'GAP_TYPE': 'INDIRECT'}
Zn1W1O4;{'HOMO_ENERGY': -5.005563533939677, 'LUMO_ENERGY': -1.7583145748141784, 'BAND_GAP': 3.2472489591254985, 'HOMO_KPT_NUM': 34, 'LUMO_KPT_NUM': 1, 'HOMO_BAND_NUM': 36, 'IS_METALLIC': False, 'FERMI_ENERGY': -4.158854833778451, 'GAP_TYPE': 'INDIRECT'}
Zr1Cl2;{'HOMO_ENERGY': -1.793864900910775, 'LUMO_ENERGY': -1.7691388733697868, 'BAND_GAP': 0.0247260275409882, 'HOMO_KPT_NUM': 17, 'LUMO_KPT_NUM': 3, 'HOMO_BAND_NUM': 13, 'IS_METALLIC': True, 'FERMI_ENERGY': -1.7907766798631193, 'GAP_TYPE': 'INDIRECT'}
Zr1Fe1Cl6;{'HOMO_ENERGY': -2.1001667875746404, 'LUMO_ENERGY': -2.0858033311542763, 'BAND_GAP': 0.01436345642036396, 'HOMO_KPT_NUM': 1, 'LUMO_KPT_NUM': 5, 'HOMO_BAND_NUM': 36, 'IS_METALLIC': True, 'FERMI_ENERGY': -2.0858618695288484, 'GAP_TYPE': 'INDIRECT'}
